chr	lead_id	lead_bp	left_raw	right_raw	left_dist	right_dist	size	1kg	hg38id_short	left_bound	right_bound	nearest_gene
chr3	chr3_154758358	154758358	151990484	154828963	2767874	70605	2838479	True	chr3_154758358	151990484	154828963	SUCNR1
chr1	chr1_225919605	225919605	225913242	226731418	6363	811813	818176	True	chr1_225919605	225913242	226731418	ITPKB
chr6	chr6_28890688	28890688	28587849	29104458	302839	213770	516609	True	chr6_28890688	28587849	29104458	ZNF311
chr1	chr1_160465437	161327996	161327996	161327996	1500	1500	3000	False	chr1_161327996	161326496	161329496	SDHC
chr17	chr17_32241955	32241955	31296270	32235177	945685	1500	947185	True	chr17_32241955	31296270	32243455	OMG
chr4	chr4_956267	956267	947145	977375	9122	21108	30230	True	chr4_956267	947145	977375	TMEM175
chr13	chr13_109011527	109011527	108984004	109782884	27523	771357	798880	True	chr13_109011527	108984004	109782884	IRS2
chr3	chr3_164102914	164102914	161328149	164153835	2774765	50921	2825686	True	chr3_164102914	161328149	164153835	SPTSSB
chr15	chr15_48508532	50701476	50701476	50701476	1500	1500	3000	True	chr15_50701476	50699976	50702976	SPPL2A
chr12	chr12_45982337	45982337	45973834	46022785	8503	40448	48951	True	chr12_45982337	45973834	46022785	SCAF11
chr2	chr2_95832691	95832691	95326214	95897745	506477	65054	571531	True	chr2_95832691	95326214	95897745	KCNIP3
chr16	chr16_58407887	58407887	52610012	58403719	5797875	1500	5799375	True	chr16_58407887	52610012	58409387	TOX3
chr15	chr15_62413435	62413435	62154096	64604181	259339	2190746	2450085	True	chr15_62413435	62154096	64604181	ZNF609
chr7	chr7_96947978	96947978	95711872	96944842	1236106	1500	1237606	True	chr7_96947978	95711872	96949478	DYNC1I1
chr12	chr12_40272278	40272278	40320097	40330969	1500	58691	60191	True	chr12_40272278	40270778	40330969	LRRK2
chr2	chr2_148351488	147901026	147901026	147901026	1500	1500	3000	True	chr2_147901026	147899526	147902526	ACVR2A
chr2	chr2_31617519	31617519	31572741	31631257	44778	13738	58516	True	chr2_31617519	31572741	31631257	SRD5A2
chr6	chr6_27093149	27093149	27053248	27224312	39901	131163	171064	True	chr6_27093149	27053248	27224312	POM121L2
chr17	chr17_4822984	4822984	4811904	4932600	11080	109616	120696	True	chr17_4822984	4811904	4932600	GP1BA
chr19	chr19_18618108	18618108	18482743	18661740	135365	43632	178997	True	chr19_18618108	18482743	18661740	ELL
chr19	chr19_35082596	35082596	32563836	35435638	2518760	353042	2871802	True	chr19_35082596	32563836	35435638	PDCD5
chr17	chr17_48397205	48397205	47535476	48350138	861729	1500	863229	True	chr17_48397205	47535476	48398705	NPEPPS
chr5	chr5_138969507	138443292	138443292	138443292	1500	1500	3000	False	chr5_138443292	138441792	138444792	REEP2
chr17	chr17_79318793	79318793	78425279	79327265	893514	8472	901986	True	chr17_79318793	78425279	79327265	DNAH17
chr8	chr8_110761832	109633256	109633256	109633256	1500	1500	3000	True	chr8_109633256	109631756	109634756	SYBU
chr18	chr18_34242134	34242134	34050285	34263097	191849	20963	212812	True	chr18_34242134	34050285	34263097	NOL4
chr4	chr4_93169043	93169043	89837794	93230054	3331249	61011	3392260	True	chr4_93169043	89837794	93230054	SNCA
chr17	chr17_47101866	46239844	46239844	46239844	1500	1500	3000	False	chr17_46239844	46238344	46241344	KANSL1
chr21	chr21_40611552	40611552	40573001	42221495	38551	1609943	1648494	True	chr21_40611552	40573001	42221495	ABCG1
chr14	chr14_94980948	94980948	94969438	100746019	11510	5765071	5776581	True	chr14_94980948	94969438	100746019	DLK1
chr16	chr16_58737128	58737128	52939375	58749397	5797753	12269	5810022	True	chr16_58737128	52939375	58749397	CHD9
chr3	chr3_7015030	7024398	7024398	7024398	1500	1500	3000	True	chr3_7024398	7022898	7025898	GRM7
chr6	chr6_70943119	70943119	69763057	70988216	1180062	45097	1225159	True	chr6_70943119	69763057	70988216	LMBRD1
chr6	chr6_32432921	32432921	32356555	32603345	76366	170424	246790	True	chr6_32432921	32356555	32603345	HLA-DRB1
chr8	chr8_17108284	17108284	16840070	17124696	268214	16412	284626	True	chr8_17108284	16840070	17124696	FGF20
chr1	chr1_205034808	205034808	205016034	205770138	18774	735330	754104	True	chr1_205034808	205016034	205770138	RAB29
chr3	chr3_28660570	28660570	28649618	28666529	10952	5959	16911	True	chr3_28660570	28649618	28666529	RBMS3
chr12	chr12_100952380	100952380	100983462	100991017	1500	38637	40137	True	chr12_100952380	100950880	100991017	ANO4
chr15	chr15_86728586	86728586	86676963	88973692	51623	2245106	2296729	True	chr15_86728586	86676963	88973692	MFGE8
chr17	chr17_62885128	62016181	62016181	62016181	1500	1500	3000	False	chr17_62016181	62014681	62017681	MED13
chr12	chr12_49511595	49549339	49549339	49549339	1500	1500	3000	False	chr12_49549339	49547839	49550839	KCNH3
chr6	chr6_134023933	132828914	132828914	132828914	1500	1500	3000	True	chr6_132828914	132827414	132830414	RPS12
chr5	chr5_1343065	1343065	1337906	1431099	5159	88034	93193	True	chr5_1343065	1337906	1431099	SLC6A3
chr3	chr3_185834605	185834605	183028420	185894352	2806185	59747	2865932	True	chr3_185834605	183028420	185894352	MCCC1
chr6	chr6_19895391	19895391	19884926	20023315	10465	127924	138389	True	chr6_19895391	19884926	20023315	MBOAT1
chr17	chr17_45206875	45206875	44352876	45224832	853999	17957	871956	True	chr17_45206875	44352876	45224832	GRN
chr14	chr14_31938582	31938582	31919073	37749513	19509	5810931	5830440	True	chr14_31938582	31919073	37749513	TTC6
chr13	chr13_96431121	96431121	96430607	97227087	1500	795966	797466	True	chr13_96431121	96429621	97227087	MBNL2
chr11	chr11_133973096	133973096	133930880	133973094	42216	1500	43716	True	chr11_133973096	133930880	133974596	IGSF9B
chr12	chr12_902043	902043	877852	906303	24191	4260	28451	True	chr12_902043	877852	906303	WNK1
chr17	chr17_51013769	51013769	50146710	51016506	867059	2737	869796	True	chr17_51013769	50146710	51016506	PPP1R9B
chr3	chr3_124562871	124562871	121842918	124568981	2719953	6110	2726063	True	chr3_124562871	121842918	124568981	EAF2
chr5	chr5_61658496	61658496	60842132	62010135	816364	351639	1168003	True	chr5_61658496	60842132	62010135	ELOVL7
chr17	chr17_82863827	82863827	81996668	82868952	867159	5125	872284	True	chr17_82863827	81996668	82868952	ASPSCR1
chr2	chr2_101628752	101628752	101170053	101661299	458699	32547	491246	True	chr2_101628752	101170053	101661299	TBC1D8
chr2	chr2_69478184	69478184	69311162	69528446	167022	50262	217284	True	chr2_69478184	69311162	69528446	AAK1
chr11	chr11_83725494	83725494	83728616	83789062	1500	63568	65068	True	chr11_83725494	83723994	83789062	DLG2
chr1	chr1_154374933	155236376	155236376	155236376	1500	1500	3000	False	chr1_155236376	155234876	155237876	GBA1
chr20	chr20_52305120	52305120	50535462	52361840	1769658	56720	1826378	True	chr20_52305120	50535462	52361840	PTPN1
chr5	chr5_76785147	76303383	76303383	76303383	1500	1500	3000	False	chr5_76303383	76301883	76304883	SV2C
chr10	chr10_15525584	15525584	15507549	15581786	18035	56202	74237	True	chr10_15525584	15507549	15581786	ITGA8
chr3	chr3_39494440	39494440	39440982	39506179	53458	11739	65197	True	chr3_39494440	39440982	39506179	MOBP
chr8	chr8_11285896	8457501	8457501	8457501	1500	1500	3000	False	chr8_8457501	8456001	8459001	PRAG1
chr12	chr12_40292582	40340400	40340400	40340400	1500	1500	3000	True	chr12_40340400	40338900	40341900	LRRK2
chr16	chr16_31426150	31426150	31038712	31510219	387438	84069	471507	True	chr16_31426150	31038712	31510219	STX4
chr4	chr4_938121	940049	940049	940049	1500	1500	3000	True	chr4_940049	938549	941549	TMEM175
chr5	chr5_81014471	80530472	80530472	80530472	1500	1500	3000	False	chr5_80530472	80528972	80531972	FAM151B
chr4	chr4_2933377	2934914	2934914	2934914	1500	1500	3000	False	chr4_2934914	2933414	2936414	MFSD10
chr17	chr17_7499204	7499204	7446770	7594953	52434	95749	148183	True	chr17_7499204	7446770	7594953	FXR2
chr16	chr16_19196799	19196799	19190342	19266171	6457	69372	75829	True	chr16_19196799	19190342	19266171	SYT17
chr7	chr7_23213525	23213525	23076996	23345066	136529	131541	268070	True	chr7_23213525	23076996	23345066	KLHL7
chr20	chr20_33529741	33529741	31805133	33570889	1724608	41148	1765756	True	chr20_33529741	31805133	33570889	TPX2
chr3	chr3_18249688	18249688	18210531	18322374	39157	72686	111843	True	chr3_18249688	18210531	18322374	TBC1D5
chr1	chr1_154374803	155236246	155236246	155236246	1500	1500	3000	False	chr1_155236246	155234746	155237746	GBA1
chr6	chr6_72959203	72959203	71778059	72962353	1181144	3150	1184294	True	chr6_72959203	71778059	72962353	RIMS1
chr21	chr21_35902328	35902328	35734328	37519947	168000	1617619	1785619	True	chr21_35902328	35734328	37519947	DYRK1A
chr2	chr2_17998101	17966582	17966582	17966582	1500	1500	3000	True	chr2_17966582	17965082	17968082	KCNS3
chr1	chr1_154374400	155235843	155235843	155235843	1500	1500	3000	True	chr1_155235843	155234343	155237343	GBA1
chr19	chr19_2326812	2326812	2313627	2353152	13185	26340	39525	True	chr19_2326812	2313627	2353152	SPPL2B
chr10	chr10_103300107	102415138	102415138	102415138	1500	1500	3000	True	chr10_102415138	102413638	102416638	PSD
chr12	chr12_107430435	107430435	107428450	107466794	1985	36359	38344	True	chr12_107430435	107428450	107466794	ABTB3
chr7	chr7_101732313	100492237	100492237	100492237	1500	1500	3000	False	chr7_100492237	100490737	100493737	NYAP1
chr14	chr14_82218552	82218552	82160195	87997920	58357	5779368	5837725	True	chr14_82218552	82160195	87997920	GALC
